icpsr,id,name,state_abbrev,cast_code
9017,MH09409017,"STRATTON, Samuel Studdiford",NY,1
11066,MH09411066,"COLLINS, James Mitchell",TX,1
11067,MH09411067,"GAYDOS, Joseph Matthew",PA,1
830,MH09400830,"BOLAND, Edward Patrick",MA,1
835,MH09400835,"BOLLING, Richard Walker",MO,1
10723,MH09410723,"EVANS, Frank Edward",CO,9
4957,MH09404957,"JOHNSON, Harold Terry",CA,1
93033,MH09493033,"PEYSER, Peter A.",NY,9
9072,MH09409072,"SULLIVAN, Leonor Kretzer",MO,1
7043,MH09407043,"O'HARA, James Grant",MI,1
7081,MH09407081,"O'NEILL, Thomas Philip, Jr. (Tip)",MA,9
948,MH09400948,"BRADEMAS, John",IN,1
5058,MH09405058,"JONES, Robert Emmett, Jr.",AL,1
3034,MH09403034,"EVINS, Joseph Landon",TN,9
5098,MH09405098,"KARTH, Joseph Edward",MN,1
5101,MH09405101,"KASTENMEIER, Robert William",WI,1
3078,MH09403078,"FASCELL, Dante Bruno",FL,1
9230,MH09409230,"TAYLOR, Roy Arthur",NC,1
9241,MH09409241,"TEAGUE, Olin Earl",TX,1
6661,MH09406661,"MOORHEAD, William Singer",PA,1
1077,MH09401077,"BROOKS, Jack Bascom",TX,1
7228,MH09407228,"PASSMAN, Otto Ernest",LA,9
1087,MH09401087,"BROOMFIELD, William S.",MI,9
9322,MH09409322,"THOMPSON, Frank, Jr.",NJ,1
3224,MH09403224,"FLOOD, Daniel John",PA,1
7333,MH09407333,"PEPPER, Claude Denson",FL,9
3242,MH09403242,"FLYNT, John James, Jr.",GA,9
7343,MH09407343,"PERKINS, Carl Dewey",KY,1
10786,MH09410786,"BROWN, Clarence J., Jr.",OH,1
1265,MH09401265,"BURKE, James Anthony",MA,1
3321,MH09403321,"FOUNTAIN, Lawrence H.",NC,1
1282,MH09401282,"BURLESON, Omar Truman",TX,1
14215,MH09414215,"FISHER, Joseph Lyman",VA,1
5436,MH09405436,"LANDRUM, Phillip Mitchell",GA,1
7498,MH09407498,"POAGE, William Robert",TX,1
9551,MH09409551,"ULLMAN, Albert Conrad",OR,9
14224,MH09414224,"FORD, Harold Eugene",TN,9
5495,MH09405495,"LATTA, Delbert Leroy",OH,1
14228,MH09414228,"HALL, Tim Lee",IL,1
9623,MH09409623,"VANIK, Charles Albert",OH,1
7610,MH09407610,"PRICE, Charles Melvin",IL,1
9802,MH09409802,"WAMPLER, William Creed",VA,9
3553,MH09403553,"GIAIMO, Robert Nicholas",CT,1
7671,MH09407671,"QUIE, Albert Harold",MN,1
14251,MH09414251,"LLOYD, Marilyn Laird",TN,1
7717,MH09407717,"RANDALL, William Joseph",MO,1
99905,MP09499905,"FORD, Gerald Rudolph, Jr.",USA,9
1610,MH09401610,"CEDERBERG, Elford Albin",MI,1
7824,MH09407824,"REUSS, Henry Schoellkopf",WI,1
7845,MH09407845,"RHODES, John Jacob",AZ,1
14000,MH09414000,"ABDNOR, James",SD,1
14001,MH09414001,"ANDREWS, Ike Franklin",NC,1
14002,MH09414002,"ARMSTRONG, William Lester",CO,1
14003,MH09414003,"BAFALIS, Louis Arthur (Skip)",FL,1
14004,MH09414004,"BEARD, Robin Leo, Jr.",TN,1
14005,MH09414005,"BOWEN, David Reece",MS,1
14006,MH09414006,"BRECKINRIDGE, John Bayne",KY,1
14007,MH09414007,"BURGENER, Clair Walter",CA,1
14008,MH09414008,"BURKE, Yvonne Brathwaite",CA,1
14009,MH09414009,"COCHRAN, William Thad",MS,1
14010,MH09414010,"COHEN, William Sebastian",ME,1
14011,MH09414011,"CONLAN, John Bertrand",AZ,1
14013,MH09414013,"DANIEL, Robert Williams, Jr.",VA,1
14015,MH09414015,"GILMAN, Benjamin Arthur",NY,1
14016,MH09414016,"GINN, Ronald Bryan (Bo)",GA,1
14018,MH09414018,"GUYER, Tennyson",OH,1
14020,MH09414020,"HINSHAW, Andrew Jackson",CA,9
14021,MH09414021,"HOLT, Marjorie Sewell",MD,1
14022,MH09414022,"HOLTZMAN, Elizabeth",NY,1
14025,MH09414025,"JOHNSON, James Paul (Jim)",CO,1
14026,MH09414026,"JONES, James Robert",OK,1
14027,MH09414027,"JORDAN, Barbara Charline",TX,1
14028,MH09414028,"KETCHUM, William Matthew",CA,1
14029,MH09414029,"LEHMAN, William",FL,1
14031,MH09414031,"LOTT, Chester Trent",MS,1
14033,MH09414033,"MADIGAN, Edward Rell",IL,1
2513,MH09402513,"DENT, John Herman",PA,1
14035,MH09414035,"MARTIN, James Grubbs",NC,1
14036,MH09414036,"MEZVINSKY, Edward Maurice",IA,1
14037,MH09414037,"MILFORD, Dale",TX,1
14038,MH09414038,"MITCHELL, Donald Jerome",NY,1
14039,MH09414039,"MOAKLEY, John Joseph",MA,1
14040,MH09414040,"MOORHEAD, Carlos John",CA,1
14041,MH09414041,"O'BRIEN, George Miller",IL,1
14044,MH09414044,"PRITCHARD, Joel McFee",WA,1
14045,MH09414045,"REGULA, Ralph Straus",OH,1
14046,MH09414046,"RINALDO, Matthew John",NJ,1
12000,MH09412000,"ALEXANDER, William Vollie (Bill), Jr.",AR,9
14049,MH09414049,"RYAN, Leo Joseph",CA,1
14050,MH09414050,"SARASIN, Ronald Arthur",CT,1
12003,MH09412003,"BIAGGI, Mario",NY,1
14052,MH09414052,"SHUSTER, E. G. (Bud)",PA,1
14053,MH09414053,"STARK, Fortney Hillman (Pete), Jr.",CA,1
14054,MH09414054,"STEELMAN, Alan Watson",TX,9
14055,MH09414055,"STUDDS, Gerry Eastman",MA,1
12008,MH09412008,"CHISHOLM, Shirley Anita",NY,1
12009,MH09412009,"CLAY, William Lacy, Sr.",MO,1
14058,MH09414058,"THORNTON, Raymond Hoyt (Ray), Jr.",AR,1
12011,MH09412011,"DANIEL, Wilbur Clarence (Dan)",VA,1
14060,MH09414060,"TREEN, David Conner",LA,1
14061,MH09414061,"WALSH, William Francis",NY,1
12014,MH09412014,"FLOWERS, Walter",AL,1
12015,MH09412015,"FREY, Louis, Jr.",FL,1
14066,MH09414066,"YOUNG, Donald Edwin",AK,9
12019,MH09412019,"KOCH, Edward Irving",NY,1
14068,MH09414068,"COLLINS, Cardiss",IL,1
14069,MH09414069,"BAUMAN, Robert Edmund",MD,1
12022,MH09412022,"LUJÁN, Manuel, Jr.",NM,1
14071,MH09414071,"LAGOMARSINO, Robert John",CA,1
14072,MH09414072,"MURTHA, John Patrick, Jr.",PA,1
12025,MH09412025,"MIKVA, Abner Joseph",IL,3
14074,MH09414074,"VANDER VEEN, Richard Franklin",MI,1
12027,MH09412027,"PREYER, Lunsford Richardson",NC,1
14076,MH09414076,"BURTON, John Lowell",CA,1
12029,MH09412029,"SEBELIUS, Keith George",KS,1
12030,MH09412030,"STOKES, Louis",OH,1
12031,MH09412031,"SYMINGTON, James Wadsworth",MO,1
12033,MH09412033,"WHITEHURST, George William",VA,1
12035,MH09412035,"YATRON, Gus",PA,1
12036,MH09412036,"OBEY, David Ross",WI,1
12037,MH09412037,"GOLDWATER, Barry Morris, Jr.",CA,1
12038,MH09412038,"JONES, Ed",TN,1
12039,MH09412039,"MELCHER, John",MT,1
12040,MH09412040,"HARRINGTON, Michael Joseph",MA,1
12041,MH09412041,"CRANE, Philip Miller",IL,9
12042,MH09412042,"ROE, Robert A.",NJ,1
5900,MH09405900,"MADDEN, Ray John",IN,1
12046,MH09412046,"FORSYTHE, Edwin Bell",NJ,1
5924,MH09405924,"MAHON, George Herman",TX,1
